iter	RMSE
0	358903.4565
1	341668.9597
2	327167.6515
3	314416.4143
4	302560.3906
5	292388.4857
6	283411.8708
7	275284.8129
8	268100.2529
9	262059.3657
10	256699.2377
11	252051.2714
12	247737.447
13	244016.321
14	240261.1978
15	237071.0054
16	234341.1858
17	231572.0989
18	229317.3952
19	226791.789
20	224989.4513
21	222955.4241
22	220890.3105
23	219413.7406
24	217980.2441
25	216682.7605
26	215458.9214
27	214382.9615
28	213389.5453
29	212025.5456
30	211021.8449
31	210088.2007
32	209017.2255
33	208148.1814
34	207231.1661
35	206236.9846
36	205502.9688
37	204836.9003
38	204253.555
39	203454.3777
40	202608.9849
41	201980.897
42	201508.9151
43	201035.2576
44	200448.4551
45	199570.2514
46	199158.7494
47	198714.6142
48	198271.1083
49	197642.2515
50	197176.139
51	196782.6967
52	196348.3177
53	195919.2762
54	195610.7023
55	195234.6082
56	194996.8668
57	194438.8779
58	194027.0374
59	193640.2561
60	193262.3682
61	192817.885
62	192490.458
63	191932.2122
64	191613.647
65	191319.3853
66	190977.9933
67	190626.6997
68	190350.9183
69	190005.1483
70	189751.3325
71	189344.9628
72	188997.493
73	188575.7541
74	188371.4728
75	188199.8481
76	187961.6163
77	187522.6237
78	187310.3322
79	186969.4764
80	186698.8572
81	186542.2769
82	186386.7714
83	186117.5961
84	185699.7238
85	185342.7618
86	185148.4638
87	184891.2872
88	184704.7123
89	184494.7599
90	184257.2918
91	183857.9603
92	183461.1743
93	183189.965
94	182912.2112
95	182730.3568
96	182398.3193
97	181861.3337
98	181594.3219
99	181385.8564
100	181037.4474
101	180867.2605
102	180631.6202
103	180504.3782
104	180312.7056
105	180103.1503
106	179872.2377
107	179678.1529
108	179569.1181
109	179416.7965
110	179257.8168
111	179023.1499
112	178905.328
113	178708.2525
114	178460.3338
115	178162.3688
116	178062.5757
117	177928.1312
118	177659.5267
119	177498.5187
120	177155.9881
121	176974.308
122	176803.2783
123	176543.2221
124	176419.0456
125	176263.8889
126	176115.0343
127	175733.5107
128	175625.0383
129	175446.6276
130	175323.1561
131	175128.977
132	175043.1834
133	174798.0236
134	174595.0314
135	174378.0756
136	174278.1132
137	174127.2293
138	173862.4475
139	173441.1448
140	173345.6697
141	173227.495
142	173116.7376
143	173051.4914
144	172948.1382
