iter	Passed	Remaining
0	51	51511
1	54	27309
2	57	19190
3	60	15120
4	64	12825
5	67	11199
6	70	9979
7	73	9064
8	75	8353
9	78	7806
10	81	7342
11	84	6932
12	86	6593
13	89	6292
14	91	6040
15	94	5837
16	97	5651
17	100	5479
18	103	5328
19	106	5196
20	108	5070
21	111	4957
22	114	4851
23	116	4750
24	119	4662
25	122	4578
26	124	4495
27	127	4420
28	129	4351
29	132	4297
30	135	4240
31	138	4185
32	140	4129
33	143	4081
34	146	4031
35	148	3987
36	151	3944
37	154	3902
38	156	3862
39	159	3827
40	162	3794
41	165	3771
42	167	3738
43	171	3715
44	173	3688
45	176	3660
46	178	3628
47	181	3599
48	184	3584
49	188	3574
50	190	3546
51	193	3523
52	195	3498
53	198	3485
54	201	3467
55	204	3453
56	207	3429
57	209	3409
58	212	3387
59	215	3377
60	219	3371
61	221	3358
62	224	3344
63	227	3328
64	230	3312
65	235	3336
66	238	3324
67	241	3310
68	244	3293
69	246	3278
70	249	3266
71	252	3259
72	255	3246
73	258	3235
74	260	3218
75	264	3210
76	266	3199
77	270	3194
78	272	3181
79	275	3169
80	278	3155
81	280	3145
82	284	3139
83	286	3128
84	289	3116
85	292	3103
86	294	3091
87	297	3087
88	301	3082
89	303	3071
90	306	3059
91	308	3049
92	311	3039
93	314	3035
94	318	3030
95	320	3019
96	323	3008
97	325	2999
98	328	2988
99	331	2983
100	334	2979
101	337	2970
102	339	2960
103	342	2951
104	345	2942
105	348	2937
106	351	2931
107	353	2921
108	356	2911
109	358	2901
110	361	2892
111	364	2889
112	367	2884
113	370	2879
114	373	2870
115	375	2861
116	378	2854
117	381	2851
118	384	2846
119	386	2837
120	389	2831
121	392	2823
122	395	2819
123	398	2812
124	400	2803
125	403	2801
126	406	2795
127	409	2791
128	412	2785
129	415	2780
130	418	2775
131	421	2774
132	424	2767
133	427	2765
134	430	2760
135	433	2755
136	437	2754
137	440	2748
138	443	2748
139	446	2743
140	449	2737
141	452	2733
142	455	2728
143	457	2721
144	460	2716
145	463	2709
146	466	2704
147	469	2700
148	471	2694
149	474	2689
150	477	2686
151	481	2683
152	484	2679
153	487	2676
154	490	2671
155	493	2668
156	496	2664
157	499	2662
158	502	2659
159	505	2655
160	509	2653
161	511	2648
162	514	2643
163	518	2641
164	520	2635
165	523	2629
166	526	2626
167	529	2621
168	533	2621
169	535	2616
170	538	2612
171	542	2609
172	545	2605
173	548	2601
174	551	2597
175	554	2594
176	557	2590
177	560	2588
178	563	2584
179	566	2580
180	569	2577
181	572	2573
182	575	2570
183	578	2567
184	582	2564
185	585	2561
186	588	2556
187	591	2554
188	594	2551
189	597	2549
190	601	2548
191	604	2543
192	607	2541
193	610	2538
194	614	2536
195	617	2534
196	621	2531
197	624	2529
198	627	2526
199	631	2525
200	634	2522
201	637	2519
202	641	2517
203	644	2514
204	647	2511
205	651	2510
206	654	2507
207	658	2506
208	661	2505
209	665	2503
210	668	2500
211	672	2498
212	675	2496
213	679	2495
214	682	2492
215	685	2489
216	689	2486
217	692	2483
218	696	2482
219	699	2479
220	703	2478
221	706	2477
222	710	2476
223	714	2474
224	718	2473
225	721	2472
226	725	2470
227	728	2468
228	732	2466
229	735	2463
230	739	2461
231	743	2460
232	746	2458
233	750	2457
234	754	2455
235	758	2454
236	761	2452
237	765	2450
238	769	2448
239	772	2447
240	776	2444
241	780	2443
242	783	2440
243	787	2439
244	790	2436
245	794	2435
246	798	2433
247	801	2431
248	806	2431
249	811	2433
250	814	2431
251	819	2431
252	823	2430
253	827	2429
254	830	2426
255	834	2425
256	838	2423
257	842	2422
258	845	2419
259	849	2418
260	853	2416
261	857	2414
262	860	2412
263	864	2409
264	867	2407
265	871	2405
266	875	2402
267	878	2400
268	882	2397
269	885	2395
270	889	2392
271	892	2388
272	896	2386
273	899	2383
274	903	2381
275	906	2378
276	910	2376
277	913	2373
278	917	2371
279	922	2372
280	926	2370
281	930	2367
282	933	2365
283	937	2362
284	940	2359
285	943	2356
286	947	2353
287	950	2350
288	954	2347
289	957	2344
290	961	2341
291	964	2338
292	968	2336
293	971	2333
294	975	2331
295	979	2328
296	982	2326
297	986	2323
298	989	2320
299	993	2317
300	996	2314
301	1000	2312
302	1004	2309
303	1007	2306
304	1011	2303
305	1014	2301
306	1018	2298
307	1022	2296
308	1025	2293
309	1029	2290
310	1032	2287
311	1036	2284
312	1039	2281
313	1042	2278
314	1046	2275
315	1049	2272
316	1053	2268
317	1056	2265
318	1060	2263
319	1063	2259
320	1066	2256
321	1070	2253
322	1074	2251
323	1077	2248
324	1080	2245
325	1084	2241
326	1087	2238
327	1091	2236
328	1095	2233
329	1098	2231
330	1102	2227
331	1105	2224
332	1108	2221
333	1112	2217
334	1115	2215
335	1119	2211
336	1122	2208
337	1125	2205
